language_code,basic_word_order,basic_word_order_value,subject_verb_order_description,object_verb_order_description,adposition_order_description,adjective_noun_order_description,basic_word_order_description,basic_word_order_available,two_dominant_orders_value,two_dominant_orders_description,two_dominant_orders_available,subject_verb_order_value,subject_verb_order_available,object_verb_order_value,object_verb_order_available,object_oblique_verb_order_value,object_oblique_verb_order_description,object_oblique_verb_order_available,adposition_order_value,adposition_order_available,genitive_noun_order_value,genitive_noun_order_description,genitive_noun_order_available,adjective_noun_order_value,adjective_noun_order_available,demonstrative_noun_order_value,demonstrative_noun_order_description,demonstrative_noun_order_available,numeral_noun_order_value,numeral_noun_order_description,numeral_noun_order_available,relative_clause_noun_order_value,relative_clause_noun_order_description,relative_clause_noun_order_available
zu,SVO,2,SV,VO,postpositions,noun-adjective,SVO,True,,,False,1,True,2,True,,,False,2.0,True,2.0,noun-genitive,True,2.0,True,6.0,Mixed,True,,,False,1.0,noun-relativizer,True
gd,VSO,3,VS,VO,postpositions,noun-adjective,VSO,True,,,False,2,True,2,True,1.0,VOX,True,2.0,True,2.0,noun-genitive,True,2.0,True,2.0,noun-demonstrative,True,1.0,numeral-noun,True,1.0,noun-relativizer,True
hmn,SVO,2,SV,VO,postpositions,noun-adjective,SVO,True,,,False,1,True,2,True,,,False,2.0,True,1.0,genitive-noun,True,2.0,True,2.0,noun-demonstrative,True,1.0,numeral-noun,True,1.0,noun-relativizer,True
gn,SVO,2,SV,VO,prepositions,noun-adjective,SVO,True,,,False,1,True,2,True,1.0,VOX,True,1.0,True,1.0,genitive-noun,True,2.0,True,1.0,demonstrative-noun,True,1.0,numeral-noun,True,,,False
uk,SVO,2,SV,VO,postpositions,adjective-noun,SVO,True,,,False,1,True,2,True,,,False,2.0,True,,,False,1.0,True,1.0,demonstrative-noun,True,1.0,numeral-noun,True,1.0,noun-relativizer,True
bn,SOV,1,SV,OV,,,SOV,True,,,False,1,True,1,True,3.0,XOV,True,,False,,,False,,False,,,False,,,False,,,False
th,SVO,2,SV,VO,postpositions,noun-adjective,SVO,True,,,False,1,True,2,True,1.0,VOX,True,2.0,True,2.0,noun-genitive,True,2.0,True,2.0,noun-demonstrative,True,2.0,noun-numeral,True,1.0,noun-relativizer,True
he,SVO,2,SV,VO,postpositions,noun-adjective,SVO,True,,,False,1,True,2,True,,,False,2.0,True,2.0,noun-genitive,True,2.0,True,2.0,noun-demonstrative,True,1.0,numeral-noun,True,1.0,noun-relativizer,True
zh-CN,SVO,2,SV,VO,no_adpositions,adjective-noun,SVO,True,,,False,1,True,2,True,2.0,XVO,True,4.0,True,1.0,genitive-noun,True,1.0,True,1.0,demonstrative-noun,True,1.0,numeral-noun,True,2.0,relativizer-noun,True
ar,VSO,3,VS,VO,postpositions,noun-adjective,VSO,True,,,False,2,True,2,True,1.0,VOX,True,2.0,True,2.0,noun-genitive,True,2.0,True,1.0,demonstrative-noun,True,1.0,numeral-noun,True,,,False
it,SVO,2,No dominant order,VO,postpositions,noun-adjective,SVO,True,,,False,3,True,2,True,,,False,2.0,True,2.0,noun-genitive,True,2.0,True,1.0,demonstrative-noun,True,1.0,numeral-noun,True,1.0,noun-relativizer,True
hi,SOV,1,SV,OV,prepositions,adjective-noun,SOV,True,,,False,1,True,1,True,,,False,1.0,True,1.0,genitive-noun,True,1.0,True,1.0,demonstrative-noun,True,1.0,numeral-noun,True,4.0,internally_headed,True
